Company_Name,Status,Company_Url,Text
KUKA,404,https://www.cadence.com/en-de/company/careers/school-students/apprenticeship,"404 Resource at '/content/cadence-www/global/en-de/company/careers/school-students/apprenticeship' not found: No resource found

Resource at '/content/cadence-www/global/en-de/company/careers/school-students/apprenticeship' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/company/careers/school-students/apprenticeship on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/company/careers/school-students/dual-studies/dual-integrated-studies-in-business-information-systems,"404 Resource at '/content/cadence-www/global/en-de/company/careers/school-students/dual-studies/dual-integrated-studies-in-business-information-systems' not found: No resource found

Resource at '/content/cadence-www/global/en-de/company/careers/school-students/dual-studies/dual-integrated-studies-in-business-information-systems' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/company/careers/school-students/dual-studies/dual-integrated-studies-in-business-information-systems on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/industries/electronics-industry,"404 Resource at '/content/cadence-www/global/en-de/industries/electronics-industry' not found: No resource found

Resource at '/content/cadence-www/global/en-de/industries/electronics-industry' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/industries/electronics-industry on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/industries/metal-industry,"404 Resource at '/content/cadence-www/global/en-de/industries/metal-industry' not found: No resource found

Resource at '/content/cadence-www/global/en-de/industries/metal-industry' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/industries/metal-industry on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/products/robot-systems/robot-periphery/positioners/kp2-sv,"404 Resource at '/content/cadence-www/global/en-de/products/robot-systems/robot-periphery/positioners/kp2-sv' not found: No resource found

Resource at '/content/cadence-www/global/en-de/products/robot-systems/robot-periphery/positioners/kp2-sv' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/products/robot-systems/robot-periphery/positioners/kp2-sv on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/products/production-machines/foundry-products/gravity-die-casting-machine,"404 Resource at '/content/cadence-www/global/en-de/products/production-machines/foundry-products/gravity-die-casting-machine' not found: No resource found

Resource at '/content/cadence-www/global/en-de/products/production-machines/foundry-products/gravity-die-casting-machine' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/products/production-machines/foundry-products/gravity-die-casting-machine on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/industries/health-care/downloads,"404 Resource at '/content/cadence-www/global/en-de/industries/health-care/downloads' not found: No resource found

Resource at '/content/cadence-www/global/en-de/industries/health-care/downloads' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/industries/health-care/downloads on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/products/production-systems/standard-products-for-automation/ks-robot-pedestals,"404 Resource at '/content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/ks-robot-pedestals' not found: No resource found

Resource at '/content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/ks-robot-pedestals' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/ks-robot-pedestals on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/products/mobility/mobile-platforms/kmp-1500,"404 Resource at '/content/cadence-www/global/en-de/products/mobility/mobile-platforms/kmp-1500' not found: No resource found

Resource at '/content/cadence-www/global/en-de/products/mobility/mobile-platforms/kmp-1500' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/products/mobility/mobile-platforms/kmp-1500 on this server

Apache Sling"
KUKA,404,https://www.cadence.com/en-de/products/production-systems/standard-products-for-automation/parts-feed/ks-drawer,"404 Resource at '/content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/parts-feed/ks-drawer' not found: No resource found

Resource at '/content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/parts-feed/ks-drawer' not found: No resource found
Cannot serve request to /content/cadence-www/global/en-de/products/production-systems/standard-products-for-automation/parts-feed/ks-drawer on this server

Apache Sling"
